,name,subregion,population,population_year
0,Indonesia,South-Eastern Asia,270625568.0,2019
1,Malaysia,South-Eastern Asia,31949777.0,2019
2,Chile,South America,18952038.0,2019
3,Bolivia,South America,11513100.0,2019
4,Peru,South America,32510453.0,2019
5,Argentina,South America,44938712.0,2019
6,Dhekelia,Western Asia,7850.0,2013
7,Cyprus,Western Asia,1198575.0,2019
8,India,Southern Asia,1366417754.0,2019
9,China,Eastern Asia,1397715000.0,2019
10,Israel,Western Asia,9053300.0,2019
11,Palestine,Western Asia,4685306.0,2019
12,Lebanon,Western Asia,6855713.0,2019
13,Ethiopia,Eastern Africa,112078730.0,2019
14,S. Sudan,Eastern Africa,11062113.0,2019
15,Somalia,Eastern Africa,10192317.3,2019
16,Kenya,Eastern Africa,52573973.0,2019
17,Malawi,Eastern Africa,18628747.0,2019
18,Tanzania,Eastern Africa,58005463.0,2019
19,Syria,Western Asia,17070135.0,2019
20,Somaliland,Eastern Africa,5096159.0,2014
21,France,Western Europe,67059887.0,2019
22,Suriname,South America,581363.0,2019
23,Guyana,South America,782766.0,2019
24,South Korea,Eastern Asia,51709098.0,2019
25,North Korea,Eastern Asia,25666161.0,2019
26,Morocco,Northern Africa,36471769.0,2019
27,W. Sahara,Northern Africa,603253.0,2017
28,Costa Rica,Central America,5047561.0,2019
29,Nicaragua,Central America,6545502.0,2019
30,Congo,Middle Africa,5380508.0,2019
31,Dem. Rep. Congo,Middle Africa,86790567.0,2019
32,Bhutan,Southern Asia,763092.0,2019
33,Ukraine,Eastern Europe,44385155.0,2019
34,Belarus,Eastern Europe,9466856.0,2019
35,Namibia,Southern Africa,2494530.0,2019
36,South Africa,Southern Africa,58558270.0,2019
37,St-Martin,Caribbean,38002.0,2019
38,Sint Maarten,Caribbean,40733.0,2019
39,Oman,Western Asia,4974986.0,2019
40,Uzbekistan,Central Asia,33580650.0,2019
41,Kazakhstan,Central Asia,18513930.0,2019
42,Tajikistan,Central Asia,9321018.0,2019
43,Lithuania,Northern Europe,2786844.0,2019
44,Brazil,South America,211049527.0,2019
45,Uruguay,South America,3461734.0,2019
46,Mongolia,Eastern Asia,3225167.0,2019
47,Russia,Eastern Europe,144373535.0,2019
48,Czechia,Eastern Europe,10669709.0,2019
49,Germany,Western Europe,83132799.0,2019
50,Estonia,Northern Europe,1326590.0,2019
51,Latvia,Northern Europe,1912789.0,2019
52,Norway,Northern Europe,5347896.0,2019
53,Sweden,Northern Europe,10285453.0,2019
54,Finland,Northern Europe,5520314.0,2019
55,Vietnam,South-Eastern Asia,96462106.0,2019
56,Cambodia,South-Eastern Asia,16486542.0,2019
57,Luxembourg,Western Europe,619896.0,2019
58,United Arab Emirates,Western Asia,9770529.0,2019
59,Belgium,Western Europe,11484055.0,2019
60,Georgia,Western Asia,3720382.0,2019
61,North Macedonia,Southern Europe,2083459.0,2019
62,Albania,Southern Europe,2854191.0,2019
63,Azerbaijan,Western Asia,10023318.0,2019
64,Kosovo,Southern Europe,1794248.0,2019
65,Turkey,Western Asia,83429615.0,2019
66,Spain,Southern Europe,47076781.0,2019
67,Laos,South-Eastern Asia,7169455.0,2019
68,Kyrgyzstan,Central Asia,6456900.0,2019
69,Armenia,Western Asia,2957731.0,2019
70,Denmark,Northern Europe,5818553.0,2019
71,Libya,Northern Africa,6777452.0,2019
72,Tunisia,Northern Africa,11694719.0,2019
73,Romania,Eastern Europe,19356544.0,2019
74,Hungary,Eastern Europe,9769949.0,2019
75,Slovakia,Eastern Europe,5454073.0,2019
76,Poland,Eastern Europe,37970874.0,2019
77,Ireland,Northern Europe,4941444.0,2019
78,United Kingdom,Northern Europe,66834405.0,2019
79,Greece,Southern Europe,10716322.0,2019
80,Zambia,Eastern Africa,17861030.0,2019
81,Sierra Leone,Western Africa,7813215.0,2019
82,Guinea,Western Africa,12771246.0,2019
83,Liberia,Western Africa,4937374.0,2019
84,Central African Rep.,Middle Africa,4745185.0,2019
85,Sudan,Northern Africa,42813238.0,2019
86,Djibouti,Eastern Africa,973560.0,2019
87,Eritrea,Eastern Africa,6081196.0,2020
88,Austria,Western Europe,8877067.0,2019
89,Iraq,Western Asia,39309783.0,2019
90,Italy,Southern Europe,60297396.0,2019
91,Switzerland,Western Europe,8574832.0,2019
92,Iran,Southern Asia,82913906.0,2019
93,Netherlands,Western Europe,17332850.0,2019
94,Liechtenstein,Western Europe,38019.0,2019
95,Côte d'Ivoire,Western Africa,25716544.0,2019
96,Serbia,Southern Europe,6944975.0,2019
97,Mali,Western Africa,19658031.0,2019
98,Senegal,Western Africa,16296364.0,2019
99,Nigeria,Western Africa,200963599.0,2019
100,Benin,Western Africa,11801151.0,2019
101,Angola,Middle Africa,31825295.0,2019
102,Croatia,Southern Europe,4067500.0,2019
103,Slovenia,Southern Europe,2087946.0,2019
104,Qatar,Western Asia,2832067.0,2019
105,Saudi Arabia,Western Asia,34268528.0,2019
106,Botswana,Southern Africa,2303697.0,2019
107,Zimbabwe,Eastern Africa,14645468.0,2019
108,Pakistan,Southern Asia,216565318.0,2019
109,Bulgaria,Eastern Europe,6975761.0,2019
110,Thailand,South-Eastern Asia,69625582.0,2019
111,San Marino,Southern Europe,33860.0,2019
112,Haiti,Caribbean,11263077.0,2019
113,Dominican Rep.,Caribbean,10738958.0,2019
114,Chad,Middle Africa,15946876.0,2019
115,Kuwait,Western Asia,4207083.0,2019
116,El Salvador,Central America,6453553.0,2019
117,Guatemala,Central America,16604026.0,2019
118,Timor-Leste,South-Eastern Asia,1293119.0,2019
119,Brunei,South-Eastern Asia,433285.0,2019
120,Monaco,Western Europe,38964.0,2019
121,Algeria,Northern Africa,43053054.0,2019
122,Mozambique,Eastern Africa,30366036.0,2019
123,eSwatini,Southern Africa,1148130.0,2019
124,Burundi,Eastern Africa,11530580.0,2019
125,Rwanda,Eastern Africa,12626950.0,2019
126,Myanmar,South-Eastern Asia,54045420.0,2019
127,Bangladesh,Southern Asia,163046161.0,2019
128,Andorra,Southern Europe,77142.0,2019
129,Afghanistan,Southern Asia,38041754.0,2019
