id,name,full_name,province,category,population,longitude,latitude,url
9ae43c95-b3ad-49a0-b4dd-3b1bb68c6a28,Makassar,Kota Makassar,South Sulawesi,City,"1,423,877",119°24′49″E,5°7′59″S,https://en.wikipedia.org/wiki/Makassar
ab481a9f-a263-4e0a-a139-cb7bf9724826,Manado,Kota Manado,North Sulawesi,City,"451,916",124°50′28.54″E,1°29′35″N,https://en.wikipedia.org/wiki/Manado
896e8583-7e73-407d-ad02-c1fc4d97dd5b,Palu,Kota Palu,Central Sulawesi,City,"373,218",119°51′34″E,0°53′42″S,https://en.wikipedia.org/wiki/Palu
c54f08ea-c450-49e0-beae-fb089e4b5907,Kendari,Kota Kendari,Southeast Sulawesi,City,"345,107",122°30′31″E,3°59′27″S,https://en.wikipedia.org/wiki/Kendari
b5a5dca2-4965-4f72-8ecd-e657eb021643,Bitung,Kota Bitung,North Sulawesi,City,"225,134",125°11′52″E,1°26′50″N,https://en.wikipedia.org/wiki/Bitung
ce971e16-24b1-4ab1-bc4f-2f6fd948af8c,Gorontalo,Kota Gorontalo,Gorontalo,City,"198,539",123°3′41″E,0°32′32″N,https://en.wikipedia.org/wiki/Gorontalo_(city)
b1f1b9e4-f59f-4b31-acdf-578cf0f88e3e,Palopo,Kota Palopo,South Sulawesi,City,"184,681",120°12′E,3°0′S,https://en.wikipedia.org/wiki/Palopo
9e6efbf1-a560-4cc0-baa4-b70ff577dec1,Baubau,Kota Baubau,Southeast Sulawesi,City,"159,248",122°36′21″E,5°27′44″S,https://en.wikipedia.org/wiki/Baubau
e75b1ed7-92ba-4225-b21f-aa4182ffc280,Parepare,Kota Parepare,South Sulawesi,City,"151,454",119°37′25″E,4°01′00″S,https://en.wikipedia.org/wiki/Parepare
12d839d6-32e6-449d-963f-076f8306e980,Kotamobagu,Kota Kotamobagu,North Sulawesi,City,"123,722",124°19′E,0°44′N,https://en.wikipedia.org/wiki/Kotamobagu
a98ae915-c507-4703-a982-ff78212cedfe,Tomohon,Kota Tomohon,North Sulawesi,City,"100,587",124°50′20″E,1°19′30″N,https://en.wikipedia.org/wiki/Tomohon
